participant_id,cohort,race_simplified,gender_simplified,accent_simplified,audit_eligible,strict_audit_eligible,prolific_recruitment_group,prolific_filter_matches_self_report,age_bin,income_bin,education,gender_self_report,race_self_report_raw,race_other_text,english_proficiency,english_accent_self_report,english_accent_other_text,primary_language,primary_language_other_text,languages_fluent,languages_fluent_other_text,residency_state,residency_other_text,country_childhood,country_childhood_other_text,state_childhood,recording_device,recording_device_other_text,device_brand_model_text,frequency_voice_assistant,frequency_text_assistant,ux_voice,voice_underperform_text,duration_s
P0024,new_recruits,Black,Female,non-SAE,True,True,bl_fe,True,35-44,"$40,000 to $49,999",Some college but no degree,Woman,"Black or African American,Native American or Alaska Native",,I speak English fluently as a first language,"African American English,Southern accent,Standard American English,Other","Well, there was an option for “African-American dialect” but there has been a new phrase coin called a “blackaccent” once upon a Time it used to be called Ebonics or even “slang”. But I can speak professionally when required.",Other,English is my primary language.,Other,I speak English and only English. And some American Sign Language.,Kansas,,United States,,Kansas,Smartphone,,iPhone 13,"At least once per week, but not every day",Daily or more,Very well,"Well, I’m not sure if the speech based systems are under performing or if it is the way that I speak or my dialect. Phonetically the words sound similar to what I said, but a lot of the times it’s nothing of the sort. It’s like I’m playing the game Mad Libs when I read a talk to text message back that’s been sent.",3340
P0099,new_recruits,Black,Male,non-SAE,True,True,bl_ma,True,18-24,"$50,000 to $59,999",High school graduate (high school diploma or equivalent including GED),Man,Black or African American,,I speak English fluently as a first language,"African American English,Standard American English",,English,,English,,Texas,,United States,,Texas,Smartphone,,iPhone 14,Only a few times,"At least once per week, but not every day",Slightly well,"not directly answering my questions, or answering a completely unrelated question",629
P0106,new_recruits,Black,Male,non-SAE,True,True,bl_ma,True,25-34,"$150,000 or more",Doctoral degree,Man,Black or African American,,I speak English fluently as a first language,African American English,,English,,English,,Minnesota,,United States,,Minnesota,Laptop/Computer with built-in microphone,,hp laptop,"At least once per week, but not every day",Only a few times,Very well,They ussualy perform well,1910
P0062,new_recruits,Black,Female,non-SAE,True,True,bl_fe,True,25-34,"$50,000 to $59,999",Associate degree in college (2-year),Woman,Black or African American,,I speak English fluently as a first language,African American English,,English,,English,,California,,United States,,California,Laptop/Computer with built-in microphone,,macbook pro,Daily or more,Daily or more,Extremely well,no,1390
P0004,new_recruits,Black,Female,SAE,True,True,bl_fe,True,45-54,"$70,000 to $79,999",Master's degree,Woman,Black or African American,,I speak English fluently as a first language,Standard American English,,English,,English,,Texas,,United States,,Texas,Laptop/Computer with built-in microphone,,Samsung A24,Daily or more,"At least once per week, but not every day",Very well,Yeah at times they don't capture my command right,1341
P0077,new_recruits,Black,Male,non-SAE,True,True,bl_ma,True,45-54,"$90,000 to $99,999",Bachelor's degree in college (4-year),Man,Black or African American,,I speak English fluently as a first language,African American English,,English,,English,,Virginia,,United States,,Virginia,Laptop/Computer with built-in microphone,,HP 1040 G6,Daily or more,"At least once per week, but not every day",Very well,"Understanding what is not said due to accent issues
",2199
P0014,new_recruits,Black,Female,non-SAE,True,True,bl_fe,True,25-34,"Less than $10,000",High school graduate (high school diploma or equivalent including GED),Woman,Black or African American,,I speak English fluently as a first language,African American English,,English,,"English,Spanish",,District of Columbia,,United States,,District of Columbia,Laptop/Computer with external microphone,,MSI GE66 Raider 11UG,Not at all,"At least once per week, but not every day",Slightly well,My voice fluctuates naturally so they get words wrong or they miss understand when I'm not done speaking so they start answering before Im done.,1609
P0124,new_recruits,Black,Male,non-SAE,True,True,bl_ma,True,18-24,"$90,000 to $99,999",High school graduate (high school diploma or equivalent including GED),Man,Black or African American,,I speak English fluently as a second or additional language,"African American English,Any non-American accent (British, European, Asian, African, etc)",french ,French,,"English,French",,Michigan,,Other (Please specify),ivory coast,,Laptop/Computer with built-in microphone,,Dell latitude 3190,Daily or more,Daily or more,Very well,no,2424
P0066,new_recruits,Black,Male,non-SAE,True,True,bl_ma,True,25-34,"$50,000 to $59,999",Master's degree,Man,Black or African American,,I speak English fluently as a first language,African American English,,English,,English,,Alabama,,United States,,Alabama,Laptop/Computer with built-in microphone,,"Based on the image details, you appear to be using a Dell Latitude 5420.","At least once per week, but not every day",Only a few times,Very well,Difficulty understanding complex instructions or specific accents in noisy environments.,2797
P0026,new_recruits,Black,Female,SAE,True,True,bl_fe,True,65-74,"$60,000 to $69,999",Associate degree in college (2-year),Woman,Black or African American,,I speak English fluently as a first language,Standard American English,,English,,Signed Language,,Georgia,,United States,,Georgia,Tablet,,Iphone14,"At least once per month, but not every week","At least once per month, but not every week",Moderately well,No,1838
P0130,new_recruits,Black,Male,non-SAE,True,True,bl_ma,True,35-44,"$10,000 to $19,999",Some college but no degree,Man,Black or African American,,I speak English fluently as a first language,"African American English,New England accent,Mid Atlantic accent,Southern accent,Standard American English,Any non-American accent (British, European, Asian, African, etc)",standard american english (thank you),English,,English,,Maryland,,United States,,Maryland,Laptop/Computer with external microphone,,"web cam mic: 

Creative Live! Cam Sync V3 Mic",Daily or more,"At least once per week, but not every day",Moderately well,"usually the system, either or both, cuts me off, or it just straight-up doesn't understand my request

(but that's a programmer issue, more than an AI issue)",1489
P0091,new_recruits,Black,Male,non-SAE,True,True,bl_ma,True,18-24,"$70,000 to $79,999",Associate degree in college (2-year),Man,Black or African American,,I speak English fluently as a first language,African American English,,English,,English,,New York,,United States,,New York,Laptop/Computer with external microphone,,Iphone 14,"At least once per week, but not every day","At least once per week, but not every day",Extremely well,no,2776
P0053,new_recruits,Black,Female,non-SAE,True,True,bl_fe,True,18-24,"$60,000 to $69,999",High school graduate (high school diploma or equivalent including GED),Woman,Black or African American,,I speak English fluently as a first language,African American English,,English,,English,,Indiana,,United States,,Indiana,Smartphone,,iphone 13 Pro Max ,"At least once per month, but not every week","At least once per month, but not every week",Moderately well,Not responding to me when i first call out to them. ,1155
P0100,new_recruits,Black,Male,non-SAE,True,True,bl_ma,True,35-44,"$40,000 to $49,999",Master's degree,Man,Black or African American,,I speak English fluently as a second or additional language,"Any non-American accent (British, European, Asian, African, etc)",Non-American (African),English,,English,,Virginia,,United States,,Virginia,Laptop/Computer with built-in microphone,,MacBook Pro,"At least once per week, but not every day",Daily or more,Moderately well,Not really,1828
P0068,new_recruits,Black,Male,SAE,True,True,bl_ma,True,25-34,"$70,000 to $79,999",Bachelor's degree in college (4-year),Man,Black or African American,,I speak English fluently as a first language,Standard American English,,English,,English,,Massachusetts,,United States,,Massachusetts,Laptop/Computer with external microphone,,HP Probook 440 G10,Daily or more,Daily or more,Very well,,1502
P0090,new_recruits,Black,Male,non-SAE,True,True,bl_ma,True,25-34,"$30,000 to $39,999",High school graduate (high school diploma or equivalent including GED),Man,Black or African American,,I speak English fluently as a first language,African American English,,English,,English,,Texas,,United States,,Texas,Smartphone,,iPhone 14,"At least once per week, but not every day",Not at all,Moderately well,No,838
P0112,new_recruits,Black,Male,non-SAE,True,True,bl_ma,True,18-24,"$100,000 to $149,999",High school graduate (high school diploma or equivalent including GED),Man,Black or African American,,I speak English fluently as a first language,"African American English,Standard American English",,English,,English,,New Jersey,,United States,,New Jersey,Smartphone,,iPhone 16 Pro,"At least once per month, but not every week",Daily or more,Moderately well,Siri can’t continue conversations ,2385
P0012,new_recruits,Black,Female,non-SAE,True,True,bl_fe,True,25-34,"Less than $10,000",Master's degree,Woman,Black or African American,,I speak English fluently as a first language,African American English,,English,,English,,Georgia,,United States,,Georgia,Laptop/Computer with built-in microphone,,laptop hp ,Only a few times,"At least once per week, but not every day",Extremely well,no,1947
P0132,new_recruits,Black,Male,non-SAE,True,True,bl_ma,True,25-34,"$80,000 to $89,999",Some college but no degree,Man,Black or African American,,I speak English fluently as a first language,African American English,,English,,English,,Michigan,,United States,,Michigan,Laptop/Computer with external microphone,,Dell core i3,"At least once per week, but not every day",Daily or more,Very well,no,3354
P0070,new_recruits,Black,Male,non-SAE,True,True,bl_ma,True,25-34,"$150,000 or more",Doctoral degree,Man,Black or African American,,I speak English fluently as a first language,African American English,,English,,English,,Arizona,,United States,,Arizona,Laptop/Computer with built-in microphone,,HP laptop (Windows 11),"At least once per week, but not every day",Daily or more,Moderately well,"They sometimes struggle with understanding accents or speech in noisy environments, and can misinterpret commands. They also tend to have limited context awareness, which can lead to repetitive or incorrect responses when tasks are more complex.",3043
